"Latest: Time (s)","Latest: Y Acceleration (m/s²)","Latest: X Acceleration 1 (m/s²)","Latest: Z Acceleration 1 (m/s²)","Latest: Z Acceleration 2 (m/s²)","Latest: Y Acceleration 2 (m/s²)","Latest: X Acceleration 2 (m/s²)"
0,-0.358777983958,9.88622254663,-0.508265334647,0.122654911363,0.500557770138,10.6305127004
0.001666,-0.312633194291,9.93160342186,-0.462884459412,0.122654911363,0.465198653401,10.5941068493
0.003332,-0.312633194291,9.93160342186,-0.462884459412,0.122654911363,0.500557770138,10.6305127004
0.004998,-0.312633194291,9.93160342186,-0.462884459412,0.1580140281,0.500557770138,10.6305127004
0.006664,-0.312633194291,9.93160342186,-0.508265334647,0.122654911363,0.500557770138,10.6305127004
0.00833,-0.312633194291,9.9769842971,-0.462884459412,0.193373144837,0.500557770138,10.6305127004
0.009996,-0.312633194291,9.9769842971,-0.462884459412,0.228732261574,0.606635120348,10.6669185515
0.011662,-0.312633194291,9.93160342186,-0.508265334647,0.122654911363,0.500557770138,10.6669185515
0.013328,-0.312633194291,9.9769842971,-0.462884459412,0.0872957946267,0.465198653401,10.5941068493
0.014994,-0.312633194291,9.93160342186,-0.462884459412,0.122654911363,0.535916886874,10.6669185515
0.01666,-0.312633194291,9.93160342186,-0.508265334647,0.122654911363,0.500557770138,10.5941068493
0.018326,-0.312633194291,9.9769842971,-0.462884459412,0.122654911363,0.500557770138,10.6305127004
0.019992,-0.312633194291,9.93160342186,-0.462884459412,0.193373144837,0.535916886874,10.6305127004
0.021658,-0.312633194291,9.93160342186,-0.417503584176,0.228732261574,0.535916886874,10.6305127004
0.023324,-0.312633194291,9.9769842971,-0.462884459412,0.1580140281,0.500557770138,10.6305127004
0.02499,-0.312633194291,9.9769842971,-0.462884459412,0.0872957946267,0.429839536664,10.5577009981
0.026656,-0.312633194291,9.93160342186,-0.462884459412,0.122654911363,0.500557770138,10.6305127004
0.028322,-0.312633194291,9.93160342186,-0.462884459412,0.122654911363,0.500557770138,10.5941068493
0.029988,-0.312633194291,9.93160342186,-0.462884459412,0.122654911363,0.500557770138,10.6305127004
0.031654,-0.312633194291,9.93160342186,-0.462884459412,0.122654911363,0.500557770138,10.6305127004
0.03332,-0.312633194291,9.93160342186,-0.462884459412,0.1580140281,0.500557770138,10.6305127004
0.034986,-0.312633194291,9.93160342186,-0.462884459412,0.193373144837,0.500557770138,10.6305127004
0.036652,-0.312633194291,9.93160342186,-0.462884459412,0.228732261574,0.606635120348,10.7397302538
0.038318,-0.312633194291,9.93160342186,-0.462884459412,0.1580140281,0.535916886874,10.6669185515
0.039984,-0.312633194291,9.93160342186,-0.462884459412,0.122654911363,0.465198653401,10.5577009981
0.04165,-0.312633194291,9.93160342186,-0.417503584176,0.193373144837,0.500557770138,10.6669185515
0.043316,-0.312633194291,9.93160342186,-0.462884459412,0.122654911363,0.465198653401,10.5941068493
0.044982,-0.312633194291,9.93160342186,-0.462884459412,0.122654911363,0.500557770138,10.6305127004
